timestamp,position,gain,movement_description
4941,177.45,-47,Shoulder 0 to 90 degrees PID
4952,177.71,-44,Shoulder 0 to 90 degrees PID
4962,177.89,-36,Shoulder 0 to 90 degrees PID
4973,178.42,-36,Shoulder 0 to 90 degrees PID
4983,178.59,-27,Shoulder 0 to 90 degrees PID
4994,178.77,-21,Shoulder 0 to 90 degrees PID
5004,178.86,-19,Shoulder 0 to 90 degrees PID
5014,179.03,-19,Shoulder 0 to 90 degrees PID
5025,179.21,-16,Shoulder 0 to 90 degrees PID
5035,179.47,-13,Shoulder 0 to 90 degrees PID
5046,179.56,-9,Shoulder 0 to 90 degrees PID
5056,179.65,-7,Shoulder 0 to 90 degrees PID
5067,179.74,-6,Shoulder 0 to 90 degrees PID
5077,179.82,-4,Shoulder 0 to 90 degrees PID
5088,179.82,-3,Shoulder 0 to 90 degrees PID
5098,179.82,-3,Shoulder 0 to 90 degrees PID
5108,179.91,-1,Shoulder 0 to 90 degrees PID
5118,179.91,-1,Shoulder 0 to 90 degrees PID
5129,179.91,-1,Shoulder 0 to 90 degrees PID
5139,179.91,0,Shoulder 0 to 90 degrees PID
5150,179.91,0,Shoulder 0 to 90 degrees PID
5160,180.0,0,Shoulder 0 to 90 degrees PID
5170,180.0,0,Shoulder 0 to 90 degrees PID
5180,180.0,-1,Shoulder 0 to 90 degrees PID
5191,180.0,0,Shoulder 0 to 90 degrees PID
5201,180.0,0,Shoulder 0 to 90 degrees PID
5211,180.0,0,Shoulder 0 to 90 degrees PID
5221,180.0,0,Shoulder 0 to 90 degrees PID
5231,180.0,0,Shoulder 0 to 90 degrees PID
5241,180.0,0,Shoulder 0 to 90 degrees PID
5251,179.91,-1,Shoulder 0 to 90 degrees PID
5262,179.91,-1,Shoulder 0 to 90 degrees PID
5272,180.0,0,Shoulder 0 to 90 degrees PID
5282,179.91,0,Shoulder 0 to 90 degrees PID
5292,180.0,0,Shoulder 0 to 90 degrees PID
5303,180.0,0,Shoulder 0 to 90 degrees PID
5314,179.91,0,Shoulder 0 to 90 degrees PID
5324,179.91,-1,Shoulder 0 to 90 degrees PID
5335,180.0,-1,Shoulder 0 to 90 degrees PID
5345,179.91,-1,Shoulder 0 to 90 degrees PID
5355,179.91,-1,Shoulder 0 to 90 degrees PID
5366,179.91,-1,Shoulder 0 to 90 degrees PID
5376,180.0,0,Shoulder 0 to 90 degrees PID
5387,180.0,0,Shoulder 0 to 90 degrees PID
5397,180.0,0,Shoulder 0 to 90 degrees PID
5408,179.91,-1,Shoulder 0 to 90 degrees PID
5418,179.91,-1,Shoulder 0 to 90 degrees PID
5429,180.0,0,Shoulder 0 to 90 degrees PID
5439,179.91,0,Shoulder 0 to 90 degrees PID
5450,180.0,0,Shoulder 0 to 90 degrees PID
5460,180.0,0,Shoulder 0 to 90 degrees PID
5471,179.91,-1,Shoulder 0 to 90 degrees PID
5481,180.0,0,Shoulder 0 to 90 degrees PID
5491,180.0,0,Shoulder 0 to 90 degrees PID
5501,180.0,0,Shoulder 0 to 90 degrees PID
5512,179.91,0,Shoulder 0 to 90 degrees PID
5523,180.0,0,Shoulder 0 to 90 degrees PID
5533,180.0,0,Shoulder 0 to 90 degrees PID
5544,180.0,0,Shoulder 0 to 90 degrees PID
5554,179.91,0,Shoulder 0 to 90 degrees PID
5565,179.91,-1,Shoulder 0 to 90 degrees PID
5575,180.0,-1,Shoulder 0 to 90 degrees PID
5585,179.91,0,Shoulder 0 to 90 degrees PID
5595,180.0,0,Shoulder 0 to 90 degrees PID
5605,179.91,0,Shoulder 0 to 90 degrees PID
5615,180.0,0,Shoulder 0 to 90 degrees PID
5626,180.0,0,Shoulder 0 to 90 degrees PID
5637,180.0,-1,Shoulder 0 to 90 degrees PID
5647,179.91,-1,Shoulder 0 to 90 degrees PID
5657,179.91,-1,Shoulder 0 to 90 degrees PID
5667,180.0,0,Shoulder 0 to 90 degrees PID
